bloom_code,keyword_en
1,3d print
1,additive manufactur
2,Self-driving car
2,robot car
2,autonomous vehicle
2,autonomous car
2,automated driving
2,driverless car
2,autonomous driving
2,autonomous vehicle
2,driverless truck 
3,bispecific
4,paas
4,cloud infrastructure
4,distributed cloud
4,cloud provider
4,cloud offering
4,cloud service
4,cloud applic
4,community cloud
4,private cloud
4,public cloud
4,cloud deployment
4,cloud environment
4,cloud management
4,cloud service
4,cloud security
4,enterprise class
4,iaas
4,hybrid cloud
4,cloud platform
4,cloud provider
4,cloud hosting
4,personal cloud
4,enterprise network
4,cloud computing
4,saas
4,cloud storage
4,enterprise application
4,cloud solution
4,enterprise cloud
4,cloud deployment
5,pose estimation
5,motion estimation
5,visual servoing
5,facial recognition
5,gesture recognition
5,computer vision
5,image recognition
5,sensor fusion
5,object recognition
6,kinase inhibitor
6,drug conjugate
6,antibody drug
7,social game
7,video gam
7,game content
7,electronic gaming
7,gaming products
8,millimeter wave
9,fingerprint sensor
9,fingerprint scanner
10,fraccing
10,hydrofracking
10,hydrofracturing
10,hydraulic fracturing
10,fracking
11,gps system
11,global positioning
11,navigation device
12,hybrid vehicle
12,electric vehicle
12,electric motorcycle
12,vehicle charging
12,hybrid electric
12,plugin hybrid
12,electric buses
12,electric car
13,lane departure
13,departure warning
14,ion batter
14,lithium batter
14,lithium polymer
14,lithium ion
15,neural network
15,deep learning
15,language processing
15,machine learning
15,machine intelligence
15,natural language
15,artificial intelligence
15,ai technology
15,supervised learning
15,learning algorithm
15,unsupervised learning
15,reinforcement learning
16,mobile commerce
16,mobile payment
16,mobile wallet
16,mobile money
17,oled
18,streaming content
18,music streaming
18,interactive tv
18,live stream
18,video conferenc
18,online streaming
18,mobile video
18,streaming servic
18,streaming media
18,live video
18,video ondemand
18,internet radio
18,video streaming
18,streaming video
19,keyless entry
19,rfid
20,search engine
21,mobile device
21,tablet computer
21,wearable device
21,tablet pcs
21,smartphone tablet
21,android phone
21,media device
21,smart phone
21,smart device
21,smart tv
21,smart speaker
21,smart watch
21,smart car
21,iphone
21,portable media
21,smart tablet
21,smartphones tablet
21,android smartphone
21,phones tablet
21,android device
21,smart refrigerator
21,smart car
21,smart band
22,social platform
22,networking site
22,social channel
22,social media
22,social network
23,defined radio
24,solar wafer
24,rooftop solar
24,solar module
24,solar cell
24,crystalline silicon
24,silicon solar
24,solar panel
24,solar power
24,solar wafer
24,solar energy
24,solar application
24,solar module
24,solar pv
24,solar grade
24,photovoltaic
24,solar thermal
25,stent graft
26,touchscreen
26,touch screen
26,touch sensor
27,virtual reality
27,augmented reality
27,mixed reality
27,extended reality
28,wifi
28,broadband connectivity
28,wireless network
29,wireless charging
29,inductive charging
