"company_name","nuts_2","n_postings","n_ai_postings","ai_share","name_en","country"
"AbbVie","CA24",42,0,NA,"quebec","CA"
"AbbVie","CA35",9,0,NA,"ontario","CA"
"AbbVie","CH05",1,0,NA,"eastern switzerland","CH"
"AbbVie","CH06",2,0,NA,"central switzerland","CH"
"AbbVie","DE9",3,0,NA,"lower saxony","DE"
"AbbVie","ES30",2,0,NA,"madrid","ES"
"AbbVie","ES51",1,0,NA,"catalonia","ES"
"AbbVie","FR10",15,0,NA,"ile-de-france","FR"
"AbbVie","INDL",6,0,NA,"delhi","IN"
"AbbVie","INKA",3,2,0.666666666666667,"karnataka","IN"
"AbbVie","INMH",1,1,1,"maharashtra","IN"
"AbbVie","ITI4",4,0,NA,"lazio","IT"
"AbbVie","TR10",9,0,NA,"istanbul","TR"
"AbbVie","UKH",1,0,NA,"east of england","GB"
"AbbVie","UKJ",19,1,0.0526315789473684,"south east england","GB"
"AbbVie","UKJ",2,0,NA,"south east england","GB"
"AbbVie","UKJ",1,0,NA,"south east england","GB"
"AbbVie","US06",221,5,0.0226244343891403,"california","US"
"AbbVie","US09",2,0,NA,"connecticut","US"
"AbbVie","US11",5,0,NA,"district of columbia","US"
"AbbVie","US17",290,13,0.0448275862068966,"illinois","US"
"AbbVie","US24",2,0,NA,"maryland","US"
"AbbVie","US25",47,2,0.0425531914893617,"massachusetts","US"
"AbbVie","US26",3,0,NA,"michigan","US"
"AbbVie","US34",37,0,NA,"new jersey","US"
"AbbVie","US36",16,0,NA,"new york","US"
"AbbVie","US42",7,0,NA,"pennsylvania","US"
"AbbVie","US48",39,0,NA,"texas","US"
"AbbVie","US53",8,0,NA,"washington","US"
"AbbVie",NA,3,0,NA,NA,NA
"Allergan","UKJ",1,0,NA,"south east england","GB"
"Allergan","US06",1,1,1,"california","US"
"Amgen","CA24",2,2,1,"quebec","CA"
"Amgen","CA35",7,2,0.285714285714286,"ontario","CA"
