"company_name","nuts_2","n_postings","n_ai_postings","ai_share","name_en","country"
"AbbVie","CA24",45,0,NA,"quebec","CA"
"AbbVie","CA35",17,0,NA,"ontario","CA"
"AbbVie","CH05",1,0,NA,"eastern switzerland","CH"
"AbbVie","CH06",2,0,NA,"central switzerland","CH"
"AbbVie","DE9",5,0,NA,"lower saxony","DE"
"AbbVie","DK01",18,0,NA,"hovedstaden","DK"
"AbbVie","ES30",2,0,NA,"madrid","ES"
"AbbVie","ES51",1,0,NA,"catalonia","ES"
"AbbVie","FR10",15,0,NA,"ile-de-france","FR"
"AbbVie","INDL",6,0,NA,"delhi","IN"
"AbbVie","INKA",4,2,0.5,"karnataka","IN"
"AbbVie","INMH",1,1,1,"maharashtra","IN"
"AbbVie","ITI4",4,0,NA,"lazio","IT"
"AbbVie","JPD",1,0,NA,"southern kanto","JP"
"AbbVie","TR10",9,0,NA,"istanbul","TR"
"AbbVie","UKH",1,0,NA,"east of england","GB"
"AbbVie","UKH",1,0,NA,"east of england","GB"
"AbbVie","UKJ",22,1,0.0454545454545455,"south east england","GB"
"AbbVie","UKJ",2,0,NA,"south east england","GB"
"AbbVie","UKJ",1,0,NA,"south east england","GB"
"AbbVie","US06",276,6,0.0217391304347826,"california","US"
"AbbVie","US09",3,0,NA,"connecticut","US"
"AbbVie","US11",5,0,NA,"district of columbia","US"
"AbbVie","US17",302,14,0.0463576158940397,"illinois","US"
"AbbVie","US24",2,0,NA,"maryland","US"
"AbbVie","US25",63,2,0.0317460317460317,"massachusetts","US"
"AbbVie","US26",10,0,NA,"michigan","US"
"AbbVie","US34",77,6,0.0779220779220779,"new jersey","US"
"AbbVie","US36",23,0,NA,"new york","US"
"AbbVie","US42",14,1,0.0714285714285714,"pennsylvania","US"
"AbbVie","US48",59,0,NA,"texas","US"
"AbbVie","US53",8,0,NA,"washington","US"
"AbbVie",NA,8,0,NA,NA,NA
"Allergan","UKJ",1,0,NA,"south east england","GB"
"Allergan","US06",1,1,1,"california","US"
"Amgen","CA24",2,2,1,"quebec","CA"
"Amgen","CA35",7,2,0.285714285714286,"ontario","CA"
"Amgen","CNGD",1,0,NA,"guangdong","CN"
"Amgen","CNSH",4,0,NA,"shanghai","CN"
"Amgen","DE2",62,0,NA,"bavaria","DE"
"Amgen","DK01",1,1,1,"hovedstaden","DK"
"Amgen","FR10",10,0,NA,"ile-de-france","FR"
"Amgen","INMH",4,0,NA,"maharashtra","IN"
"Amgen","KR01",6,0,NA,"capital region","KR"
"Amgen","NL41",9,0,NA,"noord-brabant","NL"
"Amgen","TR10",11,0,NA,"istanbul","TR"
"Amgen","TWTPE",3,0,NA,"taipei","TW"
"Amgen","UKH",10,0,NA,"east of england","GB"
"Amgen","US06",594,31,0.0521885521885522,"california","US"
"Amgen","US11",5,0,NA,"district of columbia","US"
"Amgen","US17",7,0,NA,"illinois","US"
"Amgen","US24",1,0,NA,"maryland","US"
"Amgen","US25",47,0,NA,"massachusetts","US"
"Amgen","US26",3,0,NA,"michigan","US"
"Amgen","US36",17,0,NA,"new york","US"
"Amgen","US42",41,3,0.0731707317073171,"pennsylvania","US"
"Amgen","US48",5,0,NA,"texas","US"
"Amgen","US53",16,1,0.0625,"washington","US"
"Amgen",NA,13,0,NA,NA,NA
"Astra Zeneca","CA24",3,0,NA,"quebec","CA"
"Astra Zeneca","CA35",58,2,0.0344827586206897,"ontario","CA"
"Astra Zeneca","CH04",2,0,NA,"zurich","CH"
"Astra Zeneca","CH06",12,0,NA,"central switzerland","CH"
"Astra Zeneca","CNBJ",3,0,NA,"beijing","CN"
"Astra Zeneca","CNGD",1,0,NA,"guangdong","CN"
"Astra Zeneca","CNSH",15,0,NA,"shanghai","CN"
"Astra Zeneca","DE1",55,0,NA,"baden-wurttemberg","DE"
"Astra Zeneca","DE2",108,6,0.0555555555555556,"bavaria","DE"
"Astra Zeneca","DE30",4,0,NA,"berlin","DE"
"Astra Zeneca","DE9",101,0,NA,"lower saxony","DE"
"Astra Zeneca","DK01",7,0,NA,"hovedstaden","DK"
"Astra Zeneca","ES30",14,0,NA,"madrid","ES"
"Astra Zeneca","ES51",82,8,0.0975609756097561,"catalonia","ES"
"Astra Zeneca","FR10",6,0,NA,"ile-de-france","FR"
"Astra Zeneca","INDL",1,0,NA,"delhi","IN"
"Astra Zeneca","INKA",31,5,0.161290322580645,"karnataka","IN"
"Astra Zeneca","ITC1",1,0,NA,"piedmont","IT"
"Astra Zeneca","ITC4",33,0,NA,"lombardy","IT"
"Astra Zeneca","ITH3",2,0,NA,"veneto","IT"
"Astra Zeneca","ITI4",3,0,NA,"lazio","IT"
"Astra Zeneca","JPG",18,6,0.333333333333333,"kansai","JP"
"Astra Zeneca","KR01",2,0,NA,"capital region","KR"
"Astra Zeneca","NL33",1,0,NA,"zuid-holland","NL"
"Astra Zeneca","NL41",5,0,NA,"noord-brabant","NL"
"Astra Zeneca","SE11",17,0,NA,"stockholm","SE"
"Astra Zeneca","SE23",116,13,0.112068965517241,"west sweden","SE"
"Astra Zeneca","TR10",14,0,NA,"istanbul","TR"
"Astra Zeneca","UKH",414,38,0.0917874396135266,"east of england","GB"
"Astra Zeneca","UKH",11,4,0.363636363636364,"east of england","GB"
"Astra Zeneca","UKH",3,1,0.333333333333333,"east of england","GB"
"Astra Zeneca","US06",68,0,NA,"california","US"
"Astra Zeneca","US09",59,3,0.0508474576271186,"connecticut","US"
"Astra Zeneca","US11",6,0,NA,"district of columbia","US"
"Astra Zeneca","US17",4,0,NA,"illinois","US"
"Astra Zeneca","US24",314,29,0.0923566878980892,"maryland","US"
"Astra Zeneca","US25",161,15,0.093167701863354,"massachusetts","US"
"Astra Zeneca","US26",3,0,NA,"michigan","US"
"Astra Zeneca","US34",13,0,NA,"new jersey","US"
"Astra Zeneca","US36",48,1,0.0208333333333333,"new york","US"
"Astra Zeneca","US42",37,1,0.027027027027027,"pennsylvania","US"
"Astra Zeneca","US48",34,4,0.117647058823529,"texas","US"
"Astra Zeneca","US53",2,0,NA,"washington","US"
"Astra Zeneca",NA,23,0,NA,NA,NA
"Bayer","CA35",10,1,0.1,"ontario","CA"
"Bayer","DE1",71,0,NA,"baden-wurttemberg","DE"
"Bayer","DE2",32,0,NA,"bavaria","DE"
"Bayer","DE30",173,12,0.069364161849711,"berlin","DE"
"Bayer","DE9",6,0,NA,"lower saxony","DE"
"Bayer","DK01",2,0,NA,"hovedstaden","DK"
"Bayer","ES30",2,0,NA,"madrid","ES"
"Bayer","ES51",29,1,0.0344827586206897,"catalonia","ES"
"Bayer","INDL",4,0,NA,"delhi","IN"
"Bayer","INKA",32,1,0.03125,"karnataka","IN"
"Bayer","INMH",17,1,0.0588235294117647,"maharashtra","IN"
"Bayer","ITC4",18,0,NA,"lombardy","IT"
"Bayer","NL33",11,0,NA,"zuid-holland","NL"
"Bayer","RUMOW",1,0,NA,"moskva","RU"
"Bayer","TR10",14,0,NA,"istanbul","TR"
"Bayer","UKH",20,0,NA,"east of england","GB"
"Bayer","US06",49,0,NA,"california","US"
"Bayer","US09",3,0,NA,"connecticut","US"
"Bayer","US11",1,0,NA,"district of columbia","US"
"Bayer","US17",13,0,NA,"illinois","US"
"Bayer","US25",10,1,0.1,"massachusetts","US"
"Bayer","US26",5,0,NA,"michigan","US"
"Bayer","US34",69,3,0.0434782608695652,"new jersey","US"
"Bayer","US36",3,1,0.333333333333333,"new york","US"
"Bayer","US42",54,0,NA,"pennsylvania","US"
"Bayer","US48",8,0,NA,"texas","US"
"Bayer","US53",6,0,NA,"washington","US"
"Bayer",NA,7,0,NA,NA,NA
"BioNTech","DE2",5,0,NA,"bavaria","DE"
"BioNTech","DE30",8,0,NA,"berlin","DE"
"BioNTech","UKH",3,0,NA,"east of england","GB"
"BioNTech","US24",15,0,NA,"maryland","US"
"BioNTech","US25",19,0,NA,"massachusetts","US"
"BioNTech",NA,1,0,NA,NA,NA
"Boehringer Ingelheim","CA24",1,0,NA,"quebec","CA"
"Boehringer Ingelheim","CA35",17,3,0.176470588235294,"ontario","CA"
"Boehringer Ingelheim","DE1",593,19,0.0320404721753794,"baden-wurttemberg","DE"
"Boehringer Ingelheim","DE9",46,1,0.0217391304347826,"lower saxony","DE"
"Boehringer Ingelheim","DK01",3,0,NA,"hovedstaden","DK"
"Boehringer Ingelheim","ES51",8,0,NA,"catalonia","ES"
"Boehringer Ingelheim","FR10",1,0,NA,"ile-de-france","FR"
"Boehringer Ingelheim","INDL",12,0,NA,"delhi","IN"
"Boehringer Ingelheim","INKA",8,0,NA,"karnataka","IN"
"Boehringer Ingelheim","INMH",30,0,NA,"maharashtra","IN"
"Boehringer Ingelheim","ITC4",7,0,NA,"lombardy","IT"
"Boehringer Ingelheim","ITH3",2,0,NA,"veneto","IT"
"Boehringer Ingelheim","TR10",7,0,NA,"istanbul","TR"
