"company_name","nuts_2","n_postings","n_ai_postings","ai_share","name_en","country"
"AbbVie","CA24",42,0,NA,"quebec","CA"
"AbbVie","CA35",13,0,NA,"ontario","CA"
"AbbVie","CH05",1,0,NA,"eastern switzerland","CH"
"AbbVie","CH06",2,0,NA,"central switzerland","CH"
"AbbVie","DE9",3,0,NA,"lower saxony","DE"
"AbbVie","DK01",18,0,NA,"hovedstaden","DK"
"AbbVie","ES30",2,0,NA,"madrid","ES"
"AbbVie","ES51",1,0,NA,"catalonia","ES"
"AbbVie","FR10",15,0,NA,"ile-de-france","FR"
"AbbVie","INDL",6,0,NA,"delhi","IN"
"AbbVie","INKA",4,2,0.5,"karnataka","IN"
"AbbVie","INMH",1,1,1,"maharashtra","IN"
"AbbVie","ITI4",4,0,NA,"lazio","IT"
"AbbVie","JPD",1,0,NA,"southern kanto","JP"
"AbbVie","TR10",9,0,NA,"istanbul","TR"
"AbbVie","UKH",1,0,NA,"east of england","GB"
"AbbVie","UKJ",19,1,0.0526315789473684,"south east england","GB"
"AbbVie","UKJ",2,0,NA,"south east england","GB"
"AbbVie","UKJ",1,0,NA,"south east england","GB"
"AbbVie","US06",229,5,0.0218340611353712,"california","US"
"AbbVie","US09",2,0,NA,"connecticut","US"
"AbbVie","US11",5,0,NA,"district of columbia","US"
"AbbVie","US17",290,13,0.0448275862068966,"illinois","US"
"AbbVie","US24",2,0,NA,"maryland","US"
"AbbVie","US25",54,2,0.037037037037037,"massachusetts","US"
"AbbVie","US26",7,0,NA,"michigan","US"
"AbbVie","US34",74,6,0.0810810810810811,"new jersey","US"
"AbbVie","US36",17,0,NA,"new york","US"
"AbbVie","US42",13,1,0.0769230769230769,"pennsylvania","US"
"AbbVie","US48",49,0,NA,"texas","US"
"AbbVie","US53",8,0,NA,"washington","US"
"AbbVie",NA,5,0,NA,NA,NA
"Allergan","UKJ",1,0,NA,"south east england","GB"
"Allergan","US06",1,1,1,"california","US"
"Amgen","CA24",2,2,1,"quebec","CA"
"Amgen","CA35",7,2,0.285714285714286,"ontario","CA"
"Amgen","CNSH",4,0,NA,"shanghai","CN"
"Amgen","DE2",12,0,NA,"bavaria","DE"
"Amgen","DK01",1,1,1,"hovedstaden","DK"
"Amgen","FR10",10,0,NA,"ile-de-france","FR"
"Amgen","INMH",4,0,NA,"maharashtra","IN"
"Amgen","KR01",6,0,NA,"capital region","KR"
"Amgen","NL41",9,0,NA,"noord-brabant","NL"
"Amgen","TR10",8,0,NA,"istanbul","TR"
"Amgen","TWTPE",3,0,NA,"taipei","TW"
"Amgen","UKH",9,0,NA,"east of england","GB"
"Amgen","US06",564,29,0.0514184397163121,"california","US"
"Amgen","US11",5,0,NA,"district of columbia","US"
"Amgen","US17",6,0,NA,"illinois","US"
"Amgen","US24",1,0,NA,"maryland","US"
"Amgen","US25",42,0,NA,"massachusetts","US"
"Amgen","US26",3,0,NA,"michigan","US"
"Amgen","US36",16,0,NA,"new york","US"
"Amgen","US42",38,3,0.0789473684210526,"pennsylvania","US"
"Amgen","US48",5,0,NA,"texas","US"
"Amgen","US53",16,1,0.0625,"washington","US"
"Amgen",NA,12,0,NA,NA,NA
"Astra Zeneca","CA24",3,0,NA,"quebec","CA"
"Astra Zeneca","CA35",48,1,0.0208333333333333,"ontario","CA"
"Astra Zeneca","CH04",2,0,NA,"zurich","CH"
"Astra Zeneca","CH06",11,0,NA,"central switzerland","CH"
