firm_name_pattern,firm_name
"johnson & johnson","Johnson & Johnson"
"roche","Roche"
"pfizer","Pfizer"
"novartis","Novartis"
"merck","Merck & Co."
"glaxo smith kline","Glaxo Smith Kline"
"glaxosmithkline","Glaxo Smith Kline"
"sanofi","Sanofi"
"abbvie","AbbVie"
"astra zeneca","Astra Zeneca"
"astrazeneca","Astra Zeneca"
"bristol myers","Bristol Myers Squibb"
"myers squibb","Bristol Myers Squibb"
"eli lilly","Eli Lilly"
"amgen","Amgen"
"gilead","Gilead Sciences"
"novo nordisk","Novo Nordisk"
"bayer","Bayer"
"takeda","Takeda"
"boehringer","Boehringer Ingelheim"
"teva","Teva"
"allergan","Allergan"
"daiichi sankyo","Daiichi Sankyo"
