firm_name_pattern,firm_name
"johnson","Johnson & Johnson"
"roche","Roche"
"pfizer","Pfizer"
"novartis","Novartis"
"merck","Merck & Co."
"glaxosmithkline","Glaxo Smith Kline"
"sanofi","Sanofi"
"abbvie","AbbVie"
"astrazeneca","Astra Zeneca"
"myers squibb","Bristol Myers Squibb"
"eli lilly","Eli Lilly"
"amgen","Amgen"
"gilead","Gilead Sciences"
"novo","Novo Nordisk"
"bayer","Bayer"
"takeda","Takeda"
"boehringer","Boehringer Ingelheim"
"teva","Teva"
"allergan","Allergan"
"daiichi sankyo","Daiichi Sankyo"
